system	subject	status	verdict	sym_verdict	agree	certcheck	rounds	cex	budget	rungs_c/i/e	inv	abs_states	witness_len	sym_states	xreach_states	ns_search/replay/refine	wall_ms_cegar/sym/xpl
gas_station	gas_c007_pump1_start_stop	cegar_timeout+sym_timeout+xpl_timeout	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15026/15010/15151
gas_station	gas_c008_correct_change	cegar_timeout+sym_timeout+xpl_timeout	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15040/15012/15014
gas_station	gas_c008_cust_1_start_stop	cegar_timeout+sym_timeout+xpl_timeout	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15033/15012/15013
gas_station	gas_c008_mutual_exclusion	cegar_timeout+sym_timeout+xpl_timeout	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15034/15012/15013
gas_station	gas_c008_pump1_start_stop	cegar_timeout+sym_timeout+xpl_timeout	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15033/15011/15013
gas_station	gas_c009_correct_change	cegar_timeout+sym_timeout+xpl_timeout	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15058/15012/15015
gas_station	gas_c009_cust_1_start_stop	cegar_timeout+sym_timeout+xpl_timeout	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15059/15012/15013
gas_station	gas_c009_mutual_exclusion	cegar_timeout+sym_timeout+xpl_timeout	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15052/15011/15014
gas_station	gas_c009_pump1_start_stop	cegar_timeout+sym_timeout+xpl_timeout	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15053/15012/15014
peterson	peterson2	ok	holds	holds	yes	pass	3	11	28	0/0/3	52	52	-	52	52	110500/1173/959477	33/36/30
peterson	peterson3	ok	holds	holds	yes	pass	3	55	146	0/0/3	2857	2857	-	2857	2857	88317064/1702/1219292220	1399/102/97
