# dve_sweep 20260724T203500Z rev=7138020 timeout=15s dve2hsc-flags='' hsc-flags=''
# model	status	states-or-detail	nodes	seconds
firewire_link.5	timeout	15s		15.01
firewire_link.6	timeout	15s		15.02
firewire_link.7	run-ok	399598	7851	3.13
firewire_tree.1	run-ok	272	2197	0.08
firewire_tree.2	run-ok	2441	1679	0.13
firewire_tree.3	timeout	15s		15.01
firewire_tree.4	timeout	15s		15.01
firewire_tree.5	timeout	15s		15.01
fischer.1	run-ok	634	141	0.03
fischer.2	run-ok	21733	163	0.08
fischer.3	run-ok	2896705	375	2.12
fischer.4	run-ok	1272254	1375	0.19
fischer.5	timeout	15s		15.02
fischer.6	run-ok	8321728	2208	0.49
fischer.7	timeout	15s		15.02
frogs.1	run-ok	5094	1653	0.11
frogs.2	run-ok	18207	3522	0.10
frogs.3	run-ok	760789	9740	2.49
frogs.4	timeout	15s		15.02
gear.1	run-ok	2689	267	0.07
gear.2	run-ok	16689	317	0.23
hanoi.1	run-ok	6561	13914	0.86
hanoi.2	timeout	15s		15.02
hanoi.3	timeout	15s		15.02
hanoi.4	timeout	15s		15.02
iprotocol.1	run-ok	6814	377	0.05
iprotocol.2	run-ok	29994	1174	0.10
iprotocol.3	run-ok	1013456	15141	3.58
iprotocol.4	run-ok	3290916	70207	14.12
iprotocol.5	timeout	15s		15.02
iprotocol.6	timeout	15s		15.02
iprotocol.7	timeout	15s		15.02
krebs.1	run-ok	6027	1218	0.04
krebs.2	run-ok	62476	3532	0.07
krebs.3	run-ok	238876	12086	0.15
krebs.4	run-ok	1047405	16676	0.28
lamport.1	run-ok	29242	568	0.09
lamport.2	run-ok	110920	1969	0.40
lamport.3	run-ok	38067	658	0.12
lamport.5	run-ok	1066800	4349	1.63
lamport.6	timeout	15s		15.02
lamport.7	timeout	15s		15.03
lamport.8	timeout	15s		15.02
lamport_nonatomic.1	run-ok	20434	357	0.10
lamport_nonatomic.2	run-ok	12958	418	0.10
lamport_nonatomic.3	run-ok	36983	377	0.12
lamport_nonatomic.4	run-ok	1257304	1306	1.88
lamport_nonatomic.5	timeout	15s		15.02
lann.1	run-ok	18424	1552	0.14
lann.2	run-ok	12784	448	0.05
lann.3	run-ok	1832139	1169	1.32
lann.4	run-ok	966855	25777	3.04
lann.5	run-ok	993914	1574	0.25
lann.6	timeout	15s		15.02
lann.7	timeout	15s		15.02
lann.8	timeout	15s		15.03
leader_election.1	run-ok	14252	1434	0.15
leader_election.2	run-ok	28720	4950	0.45
leader_election.3	run-ok	101360	2737	0.32
leader_election.4	run-ok	746240	5477	1.41
leader_election.5	run-ok	4803952	7345	5.42
leader_election.6	timeout	15s		15.01
leader_filters.1	run-ok	4966	642	0.04
leader_filters.2	run-ok	29284	892	0.05
leader_filters.3	run-ok	91093	2350	0.11
leader_filters.4	run-ok	50025	739	0.07
leader_filters.5	run-ok	1572886	11450	1.10
leader_filters.6	timeout	15s		15.02
leader_filters.7	timeout	15s		15.02
lifts.1	run-ok	2661	2337	0.14
lifts.2	run-ok	2664	2352	0.15
lifts.3	run-ok	30772	14406	2.13
lifts.4	run-ok	112792	16647	4.51
lifts.5	timeout	15s		15.01
lifts.6	timeout	15s		15.01
lifts.7	timeout	15s		15.01
lifts.8	timeout	15s		15.01
loyd.1	run-ok	720	328	0.04
loyd.2	run-ok	362880	3761	1.09
loyd.3	timeout	15s		15.03
lup.1	run-ok	1404	58	0.04
lup.2	run-ok	495720	275	0.08
lup.3	run-ok	1948617	352	0.10
lup.4	run-ok	7479540	438	0.13
mcs.1	run-ok	7963	648	0.07
mcs.2	run-ok	1408	218	0.04
mcs.3	run-ok	571459	4114	1.03
mcs.4	run-ok	16384	643	0.05
mcs.5	timeout	15s		15.02
mcs.6	run-ok	332544	2653	0.12
msmie.1	run-ok	2334	133	0.04
msmie.2	run-ok	10558	169	0.06
msmie.3	run-ok	134844	262	0.09
msmie.4	run-ok	7125441	438	0.28
needham.1	run-ok	497	428	0.04
needham.2	run-ok	54976	3064	0.16
needham.3	run-ok	206925	6234	0.58
needham.4	run-ok	6525019	21256	7.16
peg_solitaire.1	run-ok	32181	5559	0.41
peg_solitaire.2	timeout	15s		15.03
peg_solitaire.3	timeout	15s		15.03
peg_solitaire.4	timeout	15s		15.02
peg_solitaire.5	run-ok	84191	20497	7.84
peg_solitaire.6	timeout	15s		15.03
peterson.1	run-ok	12498	604	0.07
peterson.2	run-ok	124704	899	0.10
peterson.3	run-ok	170156	1143	0.12
peterson.4	run-ok	1119560	4219	2.53
peterson.5	timeout	15s		15.03
peterson.6	timeout	15s		15.03
peterson.7	timeout	15s		15.02
pgm_protocol.1	run-ok	10175	19554	1.67
pgm_protocol.2	run-ok	17096	38438	2.65
pgm_protocol.3	timeout	15s		15.02
pgm_protocol.4	timeout	15s		15.01
pgm_protocol.5	timeout	15s		15.01
pgm_protocol.6	timeout	15s		15.01
pgm_protocol.7	timeout	15s		15.02
pgm_protocol.8	timeout	15s		15.01
phils.1	run-ok	80	31	0.03
phils.2	run-ok	581	77	0.03
phils.3	run-ok	729	44	0.03
phils.4	run-ok	340789	218	0.10
